,best_match_score,ID,client,Record,ipAddress,hostname,alias_list,address_list,content-length,url,User-Agent,HTTPMethods,HTTPVersion,datetime
407396,0.360386349,5519,67.229.172.90,24676,67.229.172.90,67.229.172.90.static.krypt.com,['67.229.172.90'],,178,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:05:36:38+0330]
180404,0.356032439,2435,81.28.35.90,1015374,81.28.35.90,81.28.35.90,[Errno 1] Unknown host,,31051,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:18:13+0330]
216705,0.355722264,2941,142.93.144.69,87109,142.93.144.69,142.93.144.69,[Errno 1] Unknown host,,3710,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:50:33+0330]
287203,0.354446018,3889,212.33.223.42,917921,212.33.223.42,212.33.223.42,[Errno 1] Unknown host,,5829,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:41:15+0330]
18653,0.353416427,287,93.110.216.16,901334,93.110.216.16,93.110.216.16,[Errno 1] Unknown host,,38434,http://www.asire20.ir/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:34:35+0330]
46228,0.353323798,687,51.75.145.96,899351,51.75.145.96,coruscant.unix.io,['51.75.145.96'],,5852,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:33:57+0330]
362447,0.346935086,4918,159.65.45.244,4962,159.65.45.244,159.65.45.244,[Errno 1] Unknown host,,3975,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:04:15:47+0330]
145257,0.346684928,1989,107.167.106.63,905786,107.167.106.63,a07-08-06.opera-mini.net,['107.167.106.63'],,0,https://emalls.ir/,Opera/9.80 ,GET ,HTTP/1.1,[22/Jan/2019:13:36:38+0330]
193393,0.346322175,2567,220.181.108.180,15695,220.181.108.180,baiduspider-220-181-108-180.crawl.baidu.com,['220.181.108.180'],,0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:04:59:37+0330]
76205,0.345907262,1069,89.196.17.231,788731,89.196.17.231,89.196.17.231,[Errno 1] Unknown host,,3975,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:52:05+0330]
230632,0.115360474,3116,5.113.28.137,173937,5.113.137.114,5.113.28.137,[Errno 1] Unknown host,,6515,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:50:27+0330]
257835,0.115292008,3489,5.122.183.243,993841,5.122.123.183,5.122.183.243,[Errno 1] Unknown host,,2489,https://torob.com/p/54328b49-fc88-43ba-8f3a-cc289d7ed889/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:09:06+0330]
420397,0.115252302,5705,5.127.234.5,76712,5.127.52.234,5.127.234.5,[Errno 1] Unknown host,,21614,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b36,p5?amp_js_v=0.1&usqp=mq331AQECAEoAQ",Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:40:26+0330]
374237,0.115120133,5085,5.121.206.182,160553,5.120.182.121,5.121.206.182,[Errno 1] Unknown host,,3975,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:42:31+0330]
18135,0.114955958,280,5.121.94.5,47745,5.121.85.94,5.121.94.5,[Errno 1] Unknown host,,3997,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:06:54:07+0330]
32098,0.114929112,467,5.213.101.42,18006,213.230.101.42,5.213.101.42,[Errno 1] Unknown host,,5969,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:05:08:24+0330]
167137,0.114745985,2259,5.113.63.33,226240,5.113.112.33,5.113.63.33,[Errno 1] Unknown host,,22052,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b1,p65?amp_js_v=0.1&usqp=mq331AQECAEoAQ",Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:15:25+0330]
185839,0.114665729,2488,5.124.211.168,437967,5.124.211.123,5.124.211.168,[Errno 1] Unknown host,,9447,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:42:34+0330]
28055,0.114665669,412,5.115.127.128,47612,5.127.232.115,5.115.127.128,[Errno 1] Unknown host,,17016,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:06:53:53+0330]
376152,0.114589384,5111,5.210.237.135,763775,5.210.212.237,5.210.237.135,[Errno 1] Unknown host,,5664,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:42:57+0330]
182333,0.114577453,2454,5.119.181.114,422067,5.119.114.118,5.119.181.114,[Errno 1] Unknown host,,133,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/article/616/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:37:00+0330]
55780,0.114574441,802,5.210.212.94,229647,5.160.94.210,5.210.212.94,[Errno 1] Unknown host,,2225,https://torob.com/browse/215/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:17:07+0330]
243200,0.114405963,3285,188.209.2.213,805680,188.209.2.207,188.209.2.213,[Errno 1] Unknown host,,36406,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:58:27+0330]
191640,0.11434207,2553,31.2.175.183,122339,31.2.183.2,31.2.175.183,[Errno 1] Unknown host,,3211,-,torob/5 CFNetwork/976 Darwin/18.2.0,GET ,HTTP/1.1,[22/Jan/2019:08:18:10+0330]
