,best_match_score,ID,client,Record,ipAddress,hostname,alias_list,address_list,content-length,url,User-Agent,HTTPMethods,HTTPVersion,datetime
407396,0.3603863489403832,5519,67.229.172.90,24676.0,67.229.172.90,67.229.172.90.static.krypt.com,['67.229.172.90'],,178.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:05:36:38+0330]
180404,0.3560324388978577,2435,81.28.35.90,1015374.0,81.28.35.90,81.28.35.90,[Errno 1] Unknown host,,31051.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:18:13+0330]
216705,0.35572226372419136,2941,142.93.144.69,87109.0,142.93.144.69,142.93.144.69,[Errno 1] Unknown host,,3710.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:50:33+0330]
287203,0.3544460180529035,3889,212.33.223.42,917921.0,212.33.223.42,212.33.223.42,[Errno 1] Unknown host,,5829.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:41:15+0330]
18653,0.3534164270808075,287,93.110.216.16,901334.0,93.110.216.16,93.110.216.16,[Errno 1] Unknown host,,38434.0,http://www.asire20.ir/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:34:35+0330]
46228,0.35332379767325495,687,51.75.145.96,899351.0,51.75.145.96,coruscant.unix.io,['51.75.145.96'],,5852.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:33:57+0330]
310193,0.350159990265854,4207,212.33.216.201,890375.0,212.33.216.201,212.33.216.201,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/product/29244/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:30:28+0330]
377726,0.3499206324476734,5133,173.230.141.83,511997.0,173.230.141.83,li181-83.members.linode.com,['173.230.141.83'],,30110.0,https://emalls.ir/Redirect.aspx?i=10201,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:10:44+0330]
98047,0.3491157087496189,1368,106.132.122.164,329910.0,106.132.122.164,kd106132122164.au-net.ne.jp,['106.132.122.164'],,0.0,https://search.yahoo.co.jp/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:00:46+0330]
418312,0.3488715891275754,5670,196.195.253.132,728323.0,196.195.253.132,196.195.253.132,[Errno 1] Unknown host,,2489.0,https://torob.com/p/a0c63abc-b6ab-4f7d-9bd6-e6d901c341ed/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:31:02+0330]
362447,0.3469350855136302,4918,159.65.45.244,4962.0,159.65.45.244,159.65.45.244,[Errno 1] Unknown host,,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:04:15:47+0330]
145257,0.3466849280228062,1989,107.167.106.63,905786.0,107.167.106.63,a07-08-06.opera-mini.net,['107.167.106.63'],,0.0,https://emalls.ir/,Opera/9.80 ,GET ,HTTP/1.1,[22/Jan/2019:13:36:38+0330]
193393,0.3463221752318488,2567,220.181.108.180,15695.0,220.181.108.180,baiduspider-220-181-108-180.crawl.baidu.com,['220.181.108.180'],,0.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:04:59:37+0330]
76205,0.3459072616775618,1069,89.196.17.231,788731.0,89.196.17.231,89.196.17.231,[Errno 1] Unknown host,,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:52:05+0330]
395528,0.3455294851089714,5357,92.223.105.184,319355.0,92.223.105.184,lu3.zeropointer.net,['92.223.105.184'],,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/product/31011/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:56:04+0330]
339216,0.3454430044632811,4573,109.125.171.231,96512.0,109.125.171.231,109.125.171.231,[Errno 1] Unknown host,,12390.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:58:12+0330]
134659,0.3444642898460686,1840,130.193.231.98,711925.0,130.193.231.98,130.193.231.98,[Errno 1] Unknown host,,12337.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:24:49+0330]
325769,0.3443903704894483,4414,51.38.43.97,119583.0,51.38.43.97,ns366714.ip-51-38-43.eu,['51.38.43.97'],,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:16:03+0330]
168243,0.3439225341157796,2279,113.203.60.76,811622.0,113.203.60.76,113.203.60.76,[Errno 1] Unknown host,,0.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:00:24+0330]
271744,0.34354021437455,3672,123.125.71.88,689840.0,123.125.71.88,baiduspider-123-125-71-88.crawl.baidu.com,['123.125.71.88'],,223109.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:15:55+0330]
176732,0.3412541567100131,2378,104.248.138.192,18160.0,104.248.138.192,104.248.138.192,[Errno 1] Unknown host,,20127.0,https://www-zanbil-ir.cdn.ampproject.org/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:05:09:04+0330]
278453,0.34117862725058296,3781,145.239.7.73,114029.0,145.239.7.73,ns3083388.ip-145-239-7.eu,['145.239.7.73'],,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m?amp_js_v=a2&amp_gsa=1&usqp=mq331AQCCAE,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:11:42+0330]
37919,0.34113202809002346,559,195.181.29.42,680954.0,195.181.29.42,195.181.29.42,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/product/31689/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:12:31+0330]
141261,0.34003917705921705,1942,83.121.250.67,796292.0,83.121.250.67,83.121.250.67,[Errno 1] Unknown host,,6402.0,-,torob/5 CFNetwork/808.3 Darwin/16.3.0,GET ,HTTP/1.1,[22/Jan/2019:12:54:51+0330]
374243,0.33971795210251954,5086,204.18.22.7,825951.0,204.18.22.7,204.18.22.7,[Errno 1] Unknown host,,5251.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:05:41+0330]
201104,0.3392138485994891,2715,10.45.221.83,916556.0,10.45.221.83,10.45.221.83,[Errno 1] Unknown host,,40697.0,http://bazaar.parsijoo.ir/?type=home_bazar&target=service_link,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:40:44+0330]
213751,0.33920918694520735,2893,83.120.110.108,183418.0,83.120.110.108,83.120.110.108,[Errno 1] Unknown host,,2450.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:55:23+0330]
273346,0.339120593793745,3698,192.119.164.64,1015389.0,192.119.164.64,192.119.164.64,[Errno 1] Unknown host,,17442.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:18:14+0330]
226681,0.3388463243431916,3063,51.38.82.203,225874.0,51.38.82.203,vps-00578c18.vps.ovh.net,['51.38.82.203'],,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:15:14+0330]
419032,0.33876681320950464,5685,49.50.107.221,938859.0,49.50.107.221,equ221.equivalantsolutions.com,['49.50.107.221'],,42626.0,https://www.zanbil.ir/RSS/products/5,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:49:18+0330]
390224,0.33872265839956184,5301,151.243.193.128,241239.0,151.243.193.128,151-243-193-128.shatel.ir,['151.243.193.128'],,31379.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:23:14+0330]
5891,0.3386413624217573,83,86.55.4.105,19874.0,86.55.4.105,86.55.4.105,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/product/31859/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:05:18:17+0330]
261554,0.3386105191005096,3545,220.181.108.85,762469.0,220.181.108.85,baiduspider-220-181-108-85.crawl.baidu.com,['220.181.108.85'],,167701.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:42:32+0330]
235781,0.33860842701546384,3177,83.121.161.139,662831.0,83.121.161.139,83.121.161.139,[Errno 1] Unknown host,,20872.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:05:52+0330]
14086,0.3384270671843966,204,89.41.23.250,511055.0,89.41.23.250,89.41.23.250,[Errno 1] Unknown host,,4401.0,https://torob.com/p/9e6b7ff2-2bba-4f4d-923a-c53bc5ed2c87/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:10:27+0330]
