ID,client,hostname,alias_list,address_list
0,5.123.144.95,5.123.144.95,[Errno 1] Unknown host,
1,5.122.76.187,5.122.76.187,[Errno 1] Unknown host,
2,5.215.249.99,5.215.249.99,[Errno 1] Unknown host,
3,31.56.102.211,31-56-102-211.shatel.ir,['31.56.102.211'],
4,5.123.166.223,5.123.166.223,[Errno 1] Unknown host,
5,5.160.26.98,5.160.26.98,[Errno 1] Unknown host,
6,5.127.147.132,5.127.147.132,[Errno 1] Unknown host,
7,158.58.30.218,158.58.30.218,[Errno 1] Unknown host,
8,86.55.230.86,86.55.230.86,[Errno 1] Unknown host,
9,89.35.65.186,89.35.65.186,[Errno 1] Unknown host,
10,5.120.208.157,5.120.208.157,[Errno 1] Unknown host,
11,192.15.193.5,192.15.193.5,[Errno 1] Unknown host,
12,46.41.210.95,46.41.210.95,[Errno 1] Unknown host,
13,,adsl-188-158-178-115.sabanet.ir,['188.158.178.115'],
14,5.211.205.186,5.211.205.186,[Errno 1] Unknown host,
15,5.122.221.229,5.122.221.229,[Errno 1] Unknown host,
16,5.112.87.152,5.112.87.152,[Errno 1] Unknown host,
17,5.214.59.242,5.214.59.242,[Errno 1] Unknown host,
18,5.121.39.243,5.121.39.243,[Errno 1] Unknown host,
19,5.124.223.22,5.124.223.22,[Errno 1] Unknown hos,
20,5.127.1.252,5.127.1.252,[Errno 1] Unknown host,
21,151.239.180.251,151-239-180-251.shatel.ir,['151.239.180.251'],
22,5.115.12.252,5.115.12.252,[Errno 1] Unknown host,
23,5.119.203.1,5.119.203.1,[Errno 1] Unknown host,
24,91.251.210.3,91.251.210.3,[Errno 1] Unknown host,
25,77.238.112.165,77.238.112.165,[Errno 1] Unknown host,
26,5.202.213.125,5.202.213.125,[Errno 1] Unknown host,
27,86.107.80.6,86.107.80.6,[Errno 1] Unknown host,
28,83.120.182.69,83.120.182.69,[Errno 1] Unknown host,
29,5.116.18.92,5.116.18.92,[Errno 1] Unknown host,
30,5.218.1.197,5.218.1.197,[Errno 1] Unknown host,
31,5.211.135.246,5.211.135.246,[Errno 1] Unknown host,
32,89.198.129.186,89.198.129.186,[Errno 1] Unknown host,
